Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Euro area,EMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.82034847,,,,,18.66545118,,,,,16.29619392,,,,,14.13684394,,,,,13.02490004,12.74838271,12.62608941,12.25801285,12.0630132,11.85835836,11.7835054,11.88118516,11.74855325,11.56551379,11.65008607,11.32785007,11.11341023,10.87776255,10.53763941,10.44888515,10.53090987,10.5664725,10.45606085,10.48736233,10.6825117,10.43317923,10.35787922,10.3599669,10.42614546,10.31044023,10.38029279,10.36022419,10.52423161,10.34150716,,
Euro area,EMU,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,34716286140,37608253313,39802914639,43590005045,49452684979,55455120849,60981004287,65223319388,74148496704,87279266478,1.02454E+11,1.16721E+11,1.4388E+11,1.99317E+11,2.62844E+11,2.79669E+11,3.11843E+11,3.59055E+11,4.33063E+11,5.43491E+11,6.0629E+11,5.59729E+11,5.40483E+11,5.28049E+11,5.43047E+11,5.69553E+11,7.18113E+11,8.63234E+11,9.58589E+11,1.02744E+12,1.25033E+12,1.23578E+12,1.31919E+12,1.24081E+12,1.41326E+12,1.74404E+12,1.7903E+12,1.76007E+12,1.86001E+12,1.85491E+12,1.92024E+12,1.94809E+12,2.07845E+12,2.49562E+12,2.96821E+12,3.17817E+12,3.55352E+12,4.19347E+12,4.63086E+12,3.60307E+12,4.00713E+12,
Latin America & Caribbean (all income levels),LCN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,41.71880668,,,,,39.62172618,,,,,36.38413814,,,,,34.03604314,,,,,31.91262781,31.43729892,30.94400634,30.42052004,29.88335068,29.33290052,28.77021918,28.2052028,27.64359346,27.10454581,26.56809195,26.05868414,25.56322535,25.09623634,24.64376976,24.21576729,23.80777998,23.4332933,23.00129761,22.64614719,22.29344464,21.93275741,21.54839992,21.14260082,20.73165881,20.31323133,19.89478156,19.49607164,19.12766083,18.78407043,,
Latin America & Caribbean (all income levels),LCN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,9077130319,9238335933,9652634349,10217210193,11171025387,11608590325,12156814939,12837900956,13151389443,14711297447,16635481597,16425439787,18644524187,25571644856,44292452770,42841791180,48935838414,57118400231,61396216636,80352559920,1.04329E+11,1.11307E+11,1.00826E+11,1.02074E+11,1.12733E+11,1.06623E+11,91597598914,1.02573E+11,1.19281E+11,1.3266E+11,1.44484E+11,1.43275E+11,1.49431E+11,1.59683E+11,1.85989E+11,2.26876E+11,2.56083E+11,2.85745E+11,2.81955E+11,3.00751E+11,3.62011E+11,3.46696E+11,3.52066E+11,3.85555E+11,4.75191E+11,5.7288E+11,6.84601E+11,7.69046E+11,8.93462E+11,6.87796E+11,8.74334E+11,
Sub-Saharan Africa (all income levels),SSF,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,47.41780291,,,,,47.15737583,,,,,46.94680079,,,,,46.87510597,,,,,46.31922052,46.13073264,45.92433724,45.71195699,45.4920372,45.25980075,45.01247567,44.74788919,44.463283,44.16110837,43.84735744,43.52529539,43.20639211,42.88990437,42.57833752,42.27224471,41.97719585,41.68739629,41.40417399,41.12776676,40.84763499,40.56096787,40.26544933,39.94804347,39.60982751,39.25307862,38.8840249,38.51461094,38.15058028,37.79429387,,
Sub-Saharan Africa (all income levels),SSF,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5730367546,5799473769,6010970039,6735625548,7466652980,7825308747,8373099741,8573905754,9273212677,10464029758,11432448129,12457033114,13801475890,19799135656,31830578831,29451880104,32706156134,38791520500,39564130346,56949531205,77794488348,61690441235,51549780069,49939976404,51271295054,50849560553,45600418549,53002309822,54324612770,60569488964,68367950912,64085312188,64583519876,63071460409,64987751244,76680823681,86242122793,87368799642,73054431435,79314777790,94488761336,89891386769,95797350276,1.17219E+11,1.58609E+11,1.99158E+11,2.34703E+11,2.78986E+11,3.52674E+11,2.57355E+11,3.43155E+11,
North America,NAC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.97152386,,,,,19.57523006,,,,,18.30628712,,,,,14.71673731,,,,,15.85096517,15.66084382,15.82150927,15.45090415,15.63109343,15.62134796,15.40161337,15.39136621,15.76126075,16.07000433,16.5292753,16.15955429,15.77987174,15.30993514,14.99070106,14.58128939,14.52206876,14.30274798,14.28378739,14.17484777,14.32620452,13.75584662,13.58552402,13.7819257,13.78733618,13.66993909,13.9597441,13.98433935,13.99970518,13.54231522,,
North America,NAC,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,26422632813,27125681492,27930152964,30167795208,34691425796,36007751830,40443801370,42645179041,47844334835,52388708039,60035072511,62537488153,70977252701,97853242698,1.33961E+11,1.42948E+11,1.57412E+11,1.66748E+11,1.94303E+11,2.44688E+11,2.93337E+11,3.1147E+11,2.87693E+11,2.82411E+11,3.14289E+11,3.09788E+11,3.17552E+11,3.52319E+11,4.39563E+11,4.85694E+11,5.21281E+11,5.48948E+11,5.82683E+11,6.09986E+11,6.78035E+11,7.76996E+11,8.26774E+11,9.03661E+11,8.9651E+11,9.34294E+11,1.0586E+12,9.88994E+11,9.45553E+11,9.97562E+11,1.13171E+12,1.26161E+12,1.41417E+12,1.56892E+12,1.74394E+12,1.37264E+12,1.66631E+12,
Middle East & North Africa (all income levels),MEA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,47.06012611,,,,,45.51792279,,,,,43.61381782,,,,,42.08159443,,,,,41.3345025,41.08667315,40.75174772,40.27859877,39.6560647,38.87514331,37.93886118,36.88208994,35.75010821,34.57014552,33.40165552,32.25404886,31.26577365,30.19736615,29.19016467,28.20762087,27.40638923,26.69812277,26.06702671,25.4976293,25.0660296,24.68879085,24.39841819,24.19413635,23.98794874,23.81352637,23.6497318,23.47602285,23.27004327,23.03935385,,
Middle East & North Africa (all income levels),MEA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5317226600,5481274000,5800058400,7197536400,8241802000,8749720600,9525058400,10007167100,11512591000,12785270000,14629201400,19334098700,20368544200,31944776600,93925725000,86387376000,1.03789E+11,1.13732E+11,1.1255E+11,1.7261E+11,2.56248E+11,2.43935E+11,1.95535E+11,1.57596E+11,1.46851E+11,1.35384E+11,95109000000,1.13536E+11,1.14264E+11,1.41418E+11,1.7697E+11,1.58368E+11,1.67058E+11,1.60528E+11,1.68459E+11,1.87982E+11,2.23506E+11,2.2908E+11,1.79233E+11,2.21624E+11,3.24489E+11,2.9042E+11,2.9875E+11,3.66657E+11,4.84375E+11,6.5563E+11,7.9839E+11,9.2623E+11,1.23462E+12,8.42171E+11,1.06244E+12,
Europe & Central Asia (all income levels),ECS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.04631324,,,,,19.95258064,,,,,18.00694068,,,,,17.14734608,,,,,16.67980351,16.53832441,16.52028164,16.64084511,16.47178284,16.29815712,16.36799485,16.22216659,15.82577366,15.23452103,14.8806249,14.35892948,13.79356672,13.19414102,12.83573382,12.51862207,12.2557859,12.01207658,11.80310976,11.58244036,11.63385141,11.49485178,11.59911347,11.64855171,11.86546961,11.80079563,12.01640862,12.29274822,12.67203713,12.63665549,,
Europe & Central Asia (all income levels),ECS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,59603563452,64186879597,67806080417,74052148232,82950705391,92055821892,1.00257E+11,1.06012E+11,1.18412E+11,1.37899E+11,1.59456E+11,1.80416E+11,2.18595E+11,2.98678E+11,3.89803E+11,4.2232E+11,4.64576E+11,5.33895E+11,6.43866E+11,8.02828E+11,9.1735E+11,8.51499E+11,8.19473E+11,8.03134E+11,8.27513E+11,8.6913E+11,1.05471E+12,1.26547E+12,1.40293E+12,1.48918E+12,1.77989E+12,1.7584E+12,1.86464E+12,1.75677E+12,2.00667E+12,2.45583E+12,2.55266E+12,2.54521E+12,2.6273E+12,2.62855E+12,2.77955E+12,2.80031E+12,2.99263E+12,3.58142E+12,4.31633E+12,4.74069E+12,5.40665E+12,6.32004E+12,7.17307E+12,5.46712E+12,6.22042E+12,
East Asia & Pacific (all income levels),EAS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.51654605,,,,,36.83454245,,,,,33.28087192,,,,,25.41790178,,,,,21.48730086,23.07248906,23.80421294,22.3172819,21.93065215,22.44823686,23.10235009,23.49236457,22.75402882,22.06179128,21.60988583,20.6179055,19.59751394,19.30431761,18.91968585,18.35852462,18.09546433,17.66796976,16.92104428,16.17068497,15.72866873,15.18001368,14.75770595,14.39522382,14.20905775,14.17228107,13.93280651,13.88597638,13.82783301,13.7226711,,
East Asia & Pacific (all income levels),EAS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,15317054481,15010542656,15512656719,17273654835,19354719263,21802910327,24080265289,25009292014,28498261748,34171094420,39418729652,46966290517,58123040247,83071470493,1.17798E+11,1.17984E+11,1.44561E+11,1.70883E+11,2.05237E+11,2.43473E+11,3.09825E+11,3.43128E+11,3.29101E+11,3.43922E+11,3.9693E+11,4.01528E+11,4.55283E+11,5.44514E+11,6.5218E+11,7.05812E+11,7.6484E+11,8.57648E+11,9.48952E+11,1.03077E+12,1.18941E+12,1.40058E+12,1.41392E+12,1.49326E+12,1.39832E+12,1.49309E+12,1.77289E+12,1.60989E+12,1.73682E+12,2.05423E+12,2.54769E+12,2.92723E+12,3.41678E+12,3.95118E+12,4.48371E+12,3.68427E+12,4.79144E+12,
